Date,Adj Close,Close,High,Low,Open,Volume
2021-01-07,127.4443588256836,130.9199981689453,131.6300048828125,127.86000061035156,128.36000061035156,109578200.0
2021-01-08,128.54437255859375,132.0500030517578,132.6300048828125,130.22999572753906,132.42999267578125,105158200.0
2021-01-11,125.55586242675781,128.97999572753906,130.1699981689453,128.5,129.19000244140625,100384500.0
2021-01-12,125.38067626953125,128.8000030517578,129.69000244140625,126.86000061035156,128.5,91951100.0
2021-01-13,127.4151382446289,130.88999938964844,131.4499969482422,128.49000549316406,128.75999450683594,88636800.0
2021-01-14,125.48774719238281,128.91000366210938,131.0,128.75999450683594,130.8000030517578,90221800.0
2021-01-15,123.76470947265625,127.13999938964844,130.22000122070312,127.0,128.77999877929688,111598500.0
2021-01-19,124.43641662597656,127.83000183105469,128.7100067138672,126.94000244140625,127.77999877929688,90757300.0
2021-01-20,128.52488708496094,132.02999877929688,132.49000549316406,128.5500030517578,128.66000366210938,104319500.0
2021-01-21,133.2364044189453,136.8699951171875,139.6699981689453,133.58999633789062,133.8000030517578,120150900.0
2021-01-22,135.3779754638672,139.07000732421875,139.85000610351562,135.02000427246094,136.27999877929688,114459400.0
2021-01-25,139.1257781982422,142.9199981689453,145.08999633789062,136.5399932861328,143.07000732421875,157611700.0
2021-01-26,139.3594207763672,143.16000366210938,144.3000030517578,141.3699951171875,143.60000610351562,98390600.0
2021-01-27,138.2886199951172,142.05999755859375,144.3000030517578,140.41000366210938,143.42999267578125,140843800.0
2021-01-28,133.45059204101562,137.08999633789062,141.99000549316406,136.6999969482422,139.52000427246094,142621100.0
2021-01-29,128.45677185058594,131.9600067138672,136.74000549316406,130.2100067138672,135.8300018310547,177523800.0
2021-02-01,130.57887268066406,134.13999938964844,135.3800048828125,130.92999267578125,133.75,106239800.0
2021-02-02,131.4063262939453,134.99000549316406,136.30999755859375,134.61000061035156,135.72999572753906,83305400.0
2021-02-03,130.38421630859375,133.94000244140625,135.77000427246094,133.61000061035156,135.75999450683594,89880900.0
2021-02-04,133.74258422851562,137.38999938964844,137.39999389648438,134.58999633789062,136.3000030517578,84183100.0
2021-02-05,133.32826232910156,136.75999450683594,137.4199981689453,135.86000061035156,137.35000610351562,75693800.0
2021-02-08,133.47454833984375,136.91000366210938,136.9600067138672,134.9199981689453,136.02999877929688,71297200.0
2021-02-09,132.5970458984375,136.00999450683594,137.8800048828125,135.85000610351562,136.6199951171875,76774200.0
2021-02-10,131.99266052246094,135.38999938964844,136.99000549316406,134.39999389648438,136.47999572753906,73046600.0
2021-02-11,131.7391815185547,135.1300048828125,136.38999938964844,133.77000427246094,135.89999389648438,64280000.0
2021-02-12,131.97315979003906,135.3699951171875,135.52999877929688,133.69000244140625,134.35000610351562,60145100.0
2021-02-16,129.8478240966797,133.19000244140625,136.00999450683594,132.7899932861328,135.49000549316406,80576300.0
2021-02-17,127.5567855834961,130.83999633789062,132.22000122070312,129.47000122070312,131.25,97918500.0
2021-02-18,126.45520782470703,129.7100067138672,130.0,127.41000366210938,129.1999969482422,96856700.0
2021-02-19,126.61116027832031,129.8699951171875,130.7100067138672,128.8000030517578,130.24000549316406,87668800.0
2021-02-22,122.8382797241211,126.0,129.72000122070312,125.5999984741211,128.00999450683594,103916400.0
2021-02-23,122.7017822265625,125.86000061035156,126.70999908447266,118.38999938964844,123.76000213623047,158273000.0
2021-02-24,122.20457458496094,125.3499984741211,125.55999755859375,122.2300033569336,124.94000244140625,111039900.0
2021-02-25,117.9539794921875,120.98999786376953,126.45999908447266,120.54000091552734,124.68000030517578,148199500.0
2021-02-26,118.21721649169922,121.26000213623047,124.8499984741211,121.19999694824219,122.58999633789062,164560400.0
2021-03-01,124.5833511352539,127.79000091552734,127.93000030517578,122.79000091552734,123.75,116307900.0
2021-03-02,121.9803695678711,125.12000274658203,128.72000122070312,125.01000213623047,128.41000366210938,102260900.0
2021-03-03,118.99713134765625,122.05999755859375,125.70999908447266,121.83999633789062,124.80999755859375,112966300.0
2021-03-04,117.11557006835938,120.12999725341797,123.5999984741211,118.62000274658203,121.75,178155000.0
2021-03-05,118.37320709228516,121.41999816894531,121.94000244140625,117.56999969482422,120.9800033569336,153766600.0
2021-03-08,113.44017791748047,116.36000061035156,121.0,116.20999908447266,120.93000030517578,154376600.0
2021-03-09,118.05147552490234,121.08999633789062,122.05999755859375,118.79000091552734,119.02999877929688,129525800.0
2021-03-10,116.96932983398438,119.9800033569336,122.16999816894531,119.44999694824219,121.69000244140625,111943300.0
2021-03-11,118.89965057373047,121.95999908447266,123.20999908447266,121.26000213623047,122.54000091552734,103026500.0
2021-03-12,117.99301147460938,121.02999877929688,121.16999816894531,119.16000366210938,120.4000015258789,88105100.0
2021-03-15,120.87870788574219,123.98999786376953,124.0,120.41999816894531,121.41000366210938,92403800.0
2021-03-16,122.4190673828125,125.56999969482422,127.22000122070312,124.72000122070312,125.69999694824219,115227900.0
2021-03-17,121.62938690185547,124.76000213623047,125.86000061035156,122.33999633789062,124.05000305175781,111932600.0
2021-03-18,117.50553131103516,120.52999877929688,123.18000030517578,120.31999969482422,122.87999725341797,121229700.0
2021-03-19,116.97908020019531,119.98999786376953,121.43000030517578,119.68000030517578,119.9000015258789,185549500.0
2021-03-22,120.29376983642578,123.38999938964844,123.87000274658203,120.26000213623047,120.33000183105469,111912300.0
2021-03-23,119.46510314941406,122.54000091552734,124.23999786376953,122.13999938964844,123.33000183105469,95467100.0
2021-03-24,117.07658386230469,120.08999633789062,122.9000015258789,120.06999969482422,122.81999969482422,88530500.0
2021-03-25,117.56403350830078,120.58999633789062,121.66000366210938,119.0,119.54000091552734,98844700.0
2021-03-26,118.16846466064453,121.20999908447266,121.4800033569336,118.91999816894531,120.3499984741211,94071200.0
2021-03-29,118.34396362304688,121.38999938964844,122.58000183105469,120.7300033569336,121.6500015258789,80819200.0
2021-03-30,116.89134216308594,119.9000015258789,120.4000015258789,118.86000061035156,120.11000061035156,85671900.0
2021-03-31,119.08488464355469,122.1500015258789,123.5199966430664,121.1500015258789,121.6500015258789,118323800.0
2021-04-01,119.91354370117188,123.0,124.18000030517578,122.48999786376953,123.66000366210938,75089100.0
2021-04-05,122.74079895019531,125.9000015258789,126.16000366210938,123.06999969482422,123.87000274658203,88651200.0
2021-04-06,123.04300689697266,126.20999908447266,127.12999725341797,125.6500015258789,126.5,80171300.0
2021-04-07,124.69060516357422,127.9000015258789,127.91999816894531,125.13999938964844,125.83000183105469,83466700.0
2021-04-08,127.08887481689453,130.36000061035156,130.38999938964844,128.52000427246094,128.9499969482422,88844600.0
2021-04-09,129.66261291503906,133.0,133.0399932861328,129.47000122070312,129.8000030517578,106686700.0
2021-04-12,127.94677734375,131.24000549316406,132.85000610351562,130.6300048828125,132.52000427246094,91420000.0
